"Kod";"Nazwa";"ogółem;2019;[%]";
1018000;"Powiat wieruszowski";4,0;
1019000;"Powiat zduńskowolski";6,0;
1020000;"Powiat zgierski";5,7;
1021000;"Powiat brzeziński";6,8;
1061000;"Powiat m.Łódź";4,7;
1062000;"Powiat m.Piotrków Trybunalski";4,9;
1063000;"Powiat m.Skierniewice";5,1;
1201000;"Powiat bocheński";2,6;
1202000;"Powiat brzeski";4,7;
1203000;"Powiat chrzanowski";6,4;
1204000;"Powiat dąbrowski";10,0;
1205000;"Powiat gorlicki";4,6;
1206000;"Powiat krakowski";3,7;
1207000;"Powiat limanowski";6,8;
1208000;"Powiat miechowski";3,8;
1209000;"Powiat myślenicki";2,4;
1210000;"Powiat nowosądecki";7,8;
1211000;"Powiat nowotarski";5,4;
1212000;"Powiat olkuski";6,9;
1213000;"Powiat oświęcimski";5,1;
1214000;"Powiat proszowicki";4,4;
1215000;"Powiat suski";4,7;
1216000;"Powiat tarnowski";5,7;
1217000;"Powiat tatrzański";8,0;
1218000;"Powiat wadowicki";4,9;
1219000;"Powiat wielicki";4,1;
1261000;"Powiat m.Kraków";2,0;
1262000;"Powiat m.Nowy Sącz";2,7;
1263000;"Powiat m.Tarnów";4,2;
1401000;"Powiat białobrzeski";7,4;
1402000;"Powiat ciechanowski";8,9;
1403000;"Powiat garwoliński";8,4;
1404000;"Powiat gostyniński";11,9;
1405000;"Powiat grodziski";2,3;
1406000;"Powiat grójecki";2,0;
1407000;"Powiat kozienicki";9,8;
1408000;"Powiat legionowski";6,5;
1409000;"Powiat lipski";9,8;
1410000;"Powiat łosicki";4,2;
1411000;"Powiat makowski";15,4;
1412000;"Powiat miński";4,9;
1413000;"Powiat mławski";5,8;
1414000;"Powiat nowodworski";5,7;
1415000;"Powiat ostrołęcki";9,2;
1416000;"Powiat ostrowski";8,1;
1417000;"Powiat otwocki";3,7;
1418000;"Powiat piaseczyński";3,1;
1419000;"Powiat płocki";10,2;
1420000;"Powiat płoński";9,1;
